Scattershot(Passive),Skill Type,Effect,Recommend Item Type,,,,,
,Physical,Increase Damage,Attack,,,,,
,,,,,,,,
Charge Shot,Skill Type,Effect,level,Base Damage,Cooldown,Mana,Recommend Item Type,
,Physical,Movement Speed,1,200,8,60,Attack,
,,,2,230,7.6,60,,
,,,3,260,7.2,60,,
,,,4,290,6.8,60,,
,,,5,320,6.4,60,,
,,,6,350,6,60,,
,,,,,,,,
Bolt,Skill Type,Effect,level,Base Damage,Cooldown,Mana,Recommend Item Type,
,Physical,Movement,1,180,10,80,"Attack, Movement",
,,,2,200,9.4,80,,
,,,3,220,8.8,80,,
,,,4,240,8.2,80,,
,,,5,260,7.6,80,,
,,,6,280,7,80,,
,,,,,,,,
Determination,Skill Type,Effect,level,Shield,Cooldown,Attack Up,Defense Up,Recommend Item Type
,Resistant,Defense,1,1200,60,50,120,Defense
,,,2,2000,50,100,180,
,,,3,2800,40,150,240,
