Tyrant(Passive),Skill Type,Effect,Recommend Item Type,,,,,,,
,,Attack Speed,Attack,,,,,,,
,,,,,,,,,,
Red Stallion,Skill Type,Effect,level,Base Damage,Cooldown,Mana,Recommend Item Type,,,
,Physical,"Movement,Knock Up",1,150,11,0,Attack,,,
,,,2,180,10.4,0,,,,
,,,3,210,9.8,0,,,,
,,,4,240,9.2,0,,,,
,,,5,270,8.6,0,,,,
,,,6,300,8,0,,,,
,,,,,,,,,,
Impale,Skill Type,Effect,level,Base Damage,Cooldown,HP Regen,Decrease Movement speed,Mana,Recommend Item Type,
,Physical,Decrease Movement,1,250,10,120,30%,0,Attack,
,,,2,300,9.6,144,34%,0,,
,,,3,350,9.2,168,38%,0,,
,,,4,400,8.8,192,42%,0,,
,,,5,450,8.4,216,46%,0,,
,,,6,500,8,240,50%,0,,
,,,,,,,,,,
Conqueror,Skill Type,Effect,level,Attack Damage,HP Regen,Base Damage,Resistance,Cooldown,Mana,Recommend Item Type
,Cleansing,Increase Damage,1,80,120,150,10%,42,0,Defense
,,,2,120,180,225,15%,36,0,
,,,3,160,240,300,20%,30,0,
